iso3code,Country,Adult Male,Adult Female,Youth Male,Youth Female,,Adult Survey Year,Youth Survey Year
ARG,Argentina,29.6,15.7,22.7,25.4,,2012,2012
CRI,Costa Rica,13.6,4.5,9.7,8.1,,2015,2013
EGY,Egypt,38.1,0.6,18.1,8.2,,2009,2014
ETH,Ethiopia,8.1,1.8,11.5,5.8,,2016,2003
KAZ,Kazakhstan,43.4,4.5,3.9,2.3,,2014,2014
KEN,Kenya,19.1,4.5,12.8,6.7,,2014,2013
MEX,Mexico,25.6,8.4,21.6,17.7,,2015,2011
NGA,Nigeria,10,1.1,19.2,11.1,,2012,2008
PAK,Pakistan,31.8,5.8,13.3,6.6,,2014,2013
QAT,Qatar,21.1,3.1,22.8,8.8,,2013,2013
SEN,Senegal,11,1.2,14.9,6.2,,2015,2013
