Country,Home,Work,Restaurant,Survey Year
Argentina,33,31.6,23.2,2012
Camaroon,15.5,19.2,31.9,2013
China,67.3,63.3,88.5,2010
Costa Rica,4.9,6.3,7.9,2015
Indonesia,78.4,51.3,85.4,2011
Kazakhstan,13.8,19,27.6,2014
Kenya,14.3,17.6,21.2,2014
Malaysia,38.4,39.8,71,2011
Mexico,12.6,17,24.6,2015
Nigeria,6.6,17.3,29.3,2012
Pakistan,48.3,69.1,86,2014
Panama,4.4,5.6,12.4,2013
Philippines,34.7,21.5,21.9,2015
Qatar,16.8,12,25.9,2013
Senegal,21.6,30.4,28.8,2015
Thailand,36,30.5,46.9,2011
Turkey,38.3,15.6,12.9,2012
Uganda,13.1,20.4,,2013
Viet Nam,73.1,55.9,84.9,2010
