location,ISO3,HDI,"HDI code: 1-very high, 2-high, 3-medium, 4-low",Consumption,1,2,3,4
China,CHN,High,2,2350500000000,,2350500000000,,
Indonesia,IDN,Medium,3,316393700000,,,316393700000,
Russia,RUS,Very high,1,278472100000,278472100000,,,
United States,USA,Very high,1,266341300000,266341300000,,,
Japan,JPN,Very high,1,173998900000,173998900000,,,
Germany,DEU,Very high,1,114436800000,114436800000,,,
Turkey,TUR,High,2,105762600000,,105762600000,,
Egypt,EGY,Medium,3,90008900000,,,90008900000,
Bangladesh,BGD,Medium,3,86148900000,,,86148900000,
India,IND,Medium,3,84861400000,,,84861400000,
Philippines,PHL,Medium,3,79073800000,,,79073800000,
Italy,ITA,Very high,1,78063900000,78063900000,,,
Vietnam,VNM,Medium,3,76251000000,,,76251000000,
South Korea,KOR,Very high,1,72628200000,72628200000,,,
Ukraine,UKR,High,2,71947100000,,71947100000,,
Other very-high-HDI countries,,Very high,1,577195399999.9998,577195399999.9998,,,
Other high-HDI countries,,High,2,433946500000.0001,,433946500000.0001,,
Other medium-HDI countries,,Medium,3,176010999999.99997,,,176010999999.99997,
Other low-HDI countries,,Low,4,175568499999.99994,,,,175568499999.99994
